battery,cycle,capacity_Ah,max_voltage_V,min_voltage_V,mean_voltage_V,max_current_A,min_current_A,mean_current_A,max_temperature_C,min_temperature_C,mean_temperature_C,discharge_time_s
B0005,2,1.8564874208181574,4.191491807505295,2.612467347907089,3.5298286688693397,0.000728585272845447,-2.0180146876333027,-1.8187019641679727,38.98218133148803,24.325993424022467,32.572328114029,3690.234
B0005,4,1.846327249719927,4.189773213846608,2.587208728940726,3.5373201277859714,0.002927403359080335,-2.016820542901454,-1.8175598506612867,39.033397966787035,24.685948163596,32.72523522519307,3672.344
B0005,6,1.8353491942234077,4.188186735991303,2.6519168938437794,3.5437367282719,0.0014836763652280672,-2.016573862170142,-1.8164865418840956,38.818796689817404,24.734266163954402,32.64286193755933,3651.641
B0005,8,1.8352625275821128,4.188461118855572,2.592947964776547,3.5436661072601456,0.001547011952723541,-2.0159359571668354,-1.8255891938692528,38.7623045063458,24.652243741292516,32.51487646204882,3631.563
B0005,10,1.8346455082120419,4.188298524761055,2.547419651124539,3.5423432526672167,0.001701454824503414,-2.017425579158831,-1.8261139590277586,38.66539257343368,24.518700434435164,32.38234901543077,3629.172
B0005,12,1.8356616600675495,4.188815807948604,2.5209480504077413,3.5413347346347575,0.0024899497555445145,-2.0162347618032066,-1.8168108743168803,38.75169504640032,24.51442664842638,32.43418218230641,3652.281
B0005,14,1.8351461429226603,4.18839163793879,2.487927319492314,3.5410250495075215,0.002314295882739856,-2.01583310669507,-1.816791144707133,38.8207012322275,24.575581239008407,32.480416444757985,3650.828
B0005,16,1.8257567905665537,4.188927891511958,2.6652049047458775,3.554133296801584,0.002227616056915605,-2.0166395518034546,-1.8443412120754061,38.51713023385634,24.71132429046902,32.41046186109587,3572.453
B0005,18,1.8247738529891333,4.189029250882121,2.6038584726333673,3.5529355991467955,0.005401028321021492,-2.018357230695621,-1.853972745505648,38.526267904657,24.628487294051176,32.3461408313,3550.594
B0005,20,1.824613268496936,4.189223427076418,2.552853984885676,3.5512057319376997,0.0030191479674457028,-2.0160718378149842,-1.8535899338510957,38.52698128472781,24.561560340089137,32.27679750791685,3551.25
B0005,22,1.8246195526864504,4.188916055911241,2.4724483018527317,3.549292319740949,0.002626400189938571,-2.0160713863396573,-1.863380178294828,38.54143406601644,24.43128509546442,32.15709350345252,3530.25
B0005,25,1.8142019357673917,4.189876247266316,2.64956413267546,3.559759220648976,0.00236452370176732,-2.016851865845563,-1.872968810287894,38.52197451768004,24.74037188089418,32.36407129853099,3491.016
B0005,27,1.8137521577549054,4.189286794768804,2.5724981777366227,3.558081969139198,0.0018583785527610795,-2.016393908986775,-1.8826095043160833,38.582485834057856,24.733107699311514,32.3181954403762,3470.281
B0005,29,1.8134404914735822,4.188837765892728,2.5249886697730286,3.555692244172496,0.0022664654273509715,-2.0158117255163046,-1.882536787636365,38.520294134873915,24.44798340505406,32.15709029211502,3470.0
B0005,31,1.8025980036306504,4.189110301768517,2.694621861688723,3.562746818017503,0.001319946437255823,-2.0193509920362724,-1.8817935155260215,38.21358592965045,24.463097121123557,32.04407000314609,3450.297
B0005,33,1.80210690024615,4.18921207304098,2.64010141737067,3.5614521756489204,0.0030782527761262007,-2.0164420273602586,-1.8921861285036712,38.1983618706913,24.32051139249706,31.931593674911532,3429.407
B0005,35,1.802579500826209,4.188899969428112,2.5739035098380962,3.5603420474985823,0.0009018486465400538,-2.016465255161054,-1.9027629207037406,38.31926916027133,24.357321702352365,31.941655359029298,3409.484
B0005,37,1.8030683142834096,4.188779799856791,2.4942396831720126,3.5591189041401865,-0.00044812397487015555,-2.0181069603406625,-1.9133470605822436,38.4787542519308,24.382419922756025,31.965008645476725,3390.422
B0005,39,1.8027776247196041,4.189272591516219,2.4556793246645583,3.557886771846508,0.002337558709004184,-2.0170254305215485,-1.9131602105481538,38.54659017774874,24.355030419469987,31.966241678512723,3390.281
B0005,42,1.8470259949329193,4.187614060563439,2.632142800798914,3.5520375235511907,0.005955165804640151,-2.01684718332263,-1.8553455745575975,38.44749852224995,24.549424447285215,32.37143341978575,3591.734
